filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 36C 17 (cropped)_c-2m-80.csv,273,GTY029 36C 17 (cropped),Mito 37,Mito,Object,0.0226,698,765,740,14060,18.28,528.16,650.13,572,10867.98,33.75,403,502,439.47,8350,23.95,452.38,522.86,477.43,9071.26,19.54,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,274,GTY029 36C 17 (cropped),Mito 38,Mito,Object,0.0155,671,796,735.08,9556,29.85,547.34,679.44,626.93,8150.08,42.79,345,402,368.15,4786,16.43,453.96,511.23,480.23,6243.01,20.49,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,275,GTY029 36C 17 (cropped),Mito 39,Mito,Object,0.0238,708,854,795.55,15911,36.89,596.95,719.4,652.78,13055.57,35.14,353,423,387.25,7745,19.34,452.01,510.18,476.83,9536.62,17.25,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,276,GTY029 36C 17 (cropped),Mito 40,Mito,Object,36.02,645,1219,877.69,26549317,74.31,481.24,3873.49,1064.13,32188834,357.38,304,1555,640.24,19366742,182.92,451.96,15995.02,1177.12,35606560,1214.83,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,277,GTY029 36C 17 (cropped),Mito 41,Mito,Object,0.0119,817,921,849.7,8497,30.47,595.2,752.84,688.19,6881.94,41.18,449,514,478.2,4782,25.31,452.53,477.22,467.1,4671.04,6.61,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,278,GTY029 36C 17 (cropped),Mito 42,Mito,Object,0.0238,645,792,733,14660,38.07,534.84,700.2,609.23,12184.61,49.14,321,378,353.85,7077,15.73,453.75,517.24,482.02,9640.48,19.19,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,1,GTY029 36C 18 (cropped),ROIs 1,ROIs,Object,3057.45,508,816,659.99,1690000000,30.31,409.11,951.87,656.99,1690000000,51.69,172,301,233.05,598000000,12.43,137.56,365.29,233.05,598000000,20.25,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,659,GTY029 36C 18 (cropped),Whole cells 1,Whole cells,Object,106.78,NA,NA,NA,NA,NA,397.47,2524.62,812.64,72879128,168.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
GTY029 36C 18 (cropped)_c5m-50.csv,660,GTY029 36C 18 (cropped),Whole cells 2,Whole cells,Object,121.22,NA,NA,NA,NA,NA,476.43,2226.93,797.31,81167440,141.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
GTY029 36C 18 (cropped)_c5m-50.csv,661,GTY029 36C 18 (cropped),Mito 1,Mito,Object,0.607,705,937,806.18,411154,38.96,682.21,1477.07,1062.52,541886.25,143.13,341,569,427.82,218188,41.19,677.21,3643.97,1161.55,592392.5,474.66,NA,659
GTY029 36C 18 (cropped)_c5m-50.csv,662,GTY029 36C 18 (cropped),Mito 2,Mito,Object,2.36,722,973,852.18,1685603,39.46,670.45,1541.04,1065.59,2107737.25,137,404,736,549.7,1087307,51.03,676.92,5312.81,1220.79,2414719.75,537.89,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,663,GTY029 36C 18 (cropped),Mito 3,Mito,Object,0.0786,737,943,829.91,54774,39.95,900.19,1310.98,1090.41,71967.38,88.16,289,420,332.12,21920,23.6,680.5,1454.39,893.3,58957.54,191.88,NA,NA
